04-06-2023	12:17:51 	 4902762e-9fda-4a4f-8b22-2582b5a0574d 	 GET 	 undefined 	 /index.html 
04-06-2023	12:17:51 	 2a2c2279-98a3-47b5-9c79-42bad5516cb7 	 GET 	 undefined 	 /favicon.ico 
04-06-2023	12:18:56 	 3d842cd1-18e0-4628-a56c-82d7eee048e5 	 GET 	 undefined 	 /index.html 
04-06-2023	12:18:56 	 16099208-e737-411a-9471-0f62076e4c5c 	 GET 	 undefined 	 /css/style.css 
04-06-2023	12:18:56 	 f0eabe0f-0410-4422-95fa-effe16024949 	 GET 	 undefined 	 /favicon.ico 
04-06-2023	12:19:04 	 c3bb833d-fde7-44fa-a410-59faef28ca05 	 GET 	 undefined 	 /new-page.html 
04-06-2023	12:19:04 	 d6342a19-2abb-4dd7-bb32-c8dec724dc9d 	 GET 	 undefined 	 /img/img1.jpg 
04-06-2023	12:19:04 	 1c66a915-1534-458e-97ab-0f714abb3cd8 	 GET 	 undefined 	 /css/style.css 
04-06-2023	12:19:04 	 e6590fc6-dcaa-4ab5-92a8-cbed8d361324 	 GET 	 undefined 	 /favicon.ico 
11-05-2023	03:18:50 	 651e8066-a085-404c-80b4-3be5ed3d5da2 	 GET 	 undefined 	 / 
11-05-2023	03:20:00 	 3fa39cdd-c057-4fa8-bd67-247f119e4ea7 	 GET 	 undefined 	 / 
11-05-2023	03:20:00 	 2e7969da-ddca-4a0f-ad6b-719bffa81111 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:03:24 	 41da04a7-6bb5-4715-8f7f-969abf2d5f2b 	 GET 	 undefined 	 / 
11-05-2023	04:03:24 	 dee83dd1-decc-4211-8da1-4922d79fa28f 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:03:43 	 7f62064d-05d4-4252-9c82-a89b49ef6cb5 	 GET 	 undefined 	 / 
11-05-2023	04:03:43 	 04fb74ea-21fe-495e-a436-25857b16fcc9 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:03:49 	 f27c4e77-1bdf-48df-bd51-c7385091e87c 	 GET 	 undefined 	 /sdfdsaf 
11-05-2023	04:04:09 	 58c59ce0-2ede-40d1-a680-83342b8d57bc 	 GET 	 undefined 	 /sdfdsaf.sasfddsa 
11-05-2023	04:04:22 	 428a630f-a2a6-4e26-9814-e37385b5614d 	 GET 	 undefined 	 /index.htmla 
11-05-2023	04:04:40 	 c275ad3a-4e35-409a-9aae-f583b60920a6 	 GET 	 undefined 	 /index.html 
11-05-2023	04:04:40 	 8adab654-b551-44ae-8604-a728f64f88af 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:05:12 	 54c4c04a-c9c5-4220-b4d6-4fcaefdae354 	 GET 	 undefined 	 /index.html 
11-05-2023	04:05:12 	 e81c8a94-6d0d-42d7-ab90-00e7b8600ea6 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:05:47 	 191a4908-d052-43f4-af3a-3e61baa6d2ee 	 GET 	 undefined 	 /index.html 
11-05-2023	04:05:47 	 3082c814-3f1c-41e0-bdee-ca8790bdb6f2 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:05:48 	 5ffbf9c0-9d99-4c18-9e41-ee6d0f985aac 	 GET 	 undefined 	 /index.html 
11-05-2023	04:05:48 	 30d5ba6d-8f0f-4d95-ba0b-a9084c22391a 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:06:14 	 799c6bab-f080-400b-842c-7b55dd1ce09d 	 GET 	 undefined 	 /index.html 
